Sample,Antigen,IgG1,IgG1f,IgG3,IgG3f
49,B.1.351.S,12.122194156772009,11.964727710452943,847614.9666492159,1509779.7127101682
49,B.1.617.2.RBD,0.010581931170151175,0.010582273109649145,109470.04596371346,370213.2667335141
49,B.617.1.RBD,0.04911464117242804,0.04912119771444473,122334.17179639777,418139.8168481676
49,B.617.1.S,8412.181860962466,1386.4300339171764,728015.3304080621,1082584.9888136005
49,B.617.2.S,100.91180851291493,95.21898221347178,794465.4548494992,577370.9947338898
49,WT.N,57.44393167889134,64.22630983015407,272389.70623694273,357957.7420110548
49,WT.NTD,0.02728033082436214,0.02728235048010697,163434.00951705914,369320.15597281733
49,WT.RBD,151.82571589504516,143.51242238903646,543356.8681650048,265912.46648998634
49,WT.S,1.2754582167390478,1.274990646174444,395011.92594001396,495020.7390901497
49,WT.S1,0.3304897419859791,0.3304920506880456,263279.11865487817,353221.27192302136
49,WT.S2,1.4478995133401533,1.4488846506671376,246535.088895196,644274.3864464171
50,B.1.1.7.RBD,14.328713670911009,14.383269845918997,410707.8410221333,547320.2732155848
50,B.1.1.7.S,0.08811142704627395,0.08810650157343791,850419.2241293504,332915.29554852
50,B.1.351.RBD,0.04923359894080086,0.04924038709966872,190298.39593324345,702140.2244648769
50,B.1.351.S,0.09911838702813669,0.09914918187807119,1567256.676772519,1030618.9800177502
50,B.1.617.2.RBD,0.01117544700234923,0.011175745571566724,124435.21426920923,527245.9786089907
50,B.617.1.RBD,0.09215200164629844,0.09217392444140819,208762.27153669338,627347.0849460221
50,B.617.1.S,237.13791762171965,193.0532428575688,590256.0277856576,787744.9521167228
50,B.617.2.S,0.7971337052455265,0.7969717893360755,920773.2343173207,648193.1523697587
50,WT.N,285.74812025475245,483.9401306917281,388705.2048271105,609119.6916606335
50,WT.NTD,0.027159882035275144,0.027160714694097796,515118.73785883264,874061.1407820911
50,WT.RBD,0.10378785591570147,0.10379862027509378,530448.251343755,786863.4068095839
50,WT.S,0.022248032733016874,0.022248338442831098,375380.1939033582,641487.5615797229
50,WT.S1,0.006426871179682631,0.0064268550787819935,628407.9768024948,308720.08063923096
50,WT.S2,0.04522934790592451,0.04523514280350695,142710.77845762495,584033.3967025795
51,B.1.1.7.RBD,3597.8050452786033,828.9331863117751,585291.6844514709,462733.3286865935
51,B.1.1.7.S,299435.42792251747,3995.278862075523,1801992.862560485,1527312.213591806
51,B.1.351.RBD,126.14786473239896,116.0564357829288,648747.905331102,838775.8975006309
51,B.1.351.S,378108.5717092967,7207.72052027322,2404327.8897196287,1714733.8981846427
51,B.1.617.2.RBD,0.7209605153060746,0.7210867161489452,326444.6809579269,536818.1777260033
51,B.617.1.RBD,10.739454130886086,10.71336805936458,530602.5167324186,601194.158563788
51,B.617.1.S,408438.23611305683,4471.257784856005,2293597.8869910454,1667357.3866253719
51,B.617.2.S,452261.23449303955,4486.659104492331,2348187.376857746,1571169.4962465877
51,WT.N,61.18965597870797,65.95723606133157,442648.0257943526,638646.5838975365
51,WT.NTD,9.169486310119417,9.228381698922451,623985.0822972471,831564.0218202849
51,WT.RBD,785333.3864510551,3907.186550293892,1651258.3773602308,196753.34237621533
